None,0.0001,400,100,10,10,1,False,False,600,256,0.99384,0.9774,0.9761
None,0.0001,400,100,10,10,1,False,False,600,256,0.99412,0.9771,0.9764
None,0.0001,400,100,10,50,1,False,False,600,256,0.9921,0.9759,0.975
None,0.0001,400,100,10,50,1,False,False,600,256,0.99428,0.9773,0.9748
None,0.0001,400,100,10,10,1,False,False,600,256,0.99366,0.978,0.9745
None,0.0001,400,100,10,50,1,False,False,600,256,0.99428,0.9773,0.9748
None,0.0001,400,100,10,10,1,False,False,800,256,0.99528,0.9769,0.9781
None,0.0001,400,100,10,50,1,False,False,800,256,0.99612,0.9784,0.9786
None,0.0001,100,400,10,50,1,False,False,800,256,0.99008,0.9769,0.9734
0.25,0.0001,400,100,10,20,10,False,False,800,256,0.9892,0.9776,0.9726
None,0.0001,400,100,10,20,10,False,False,150,256,0.97576,0.9668,0.9664
None,0.0001,400,400,10,20,10,False,False,150,256,0.99582,0.9787,0.9784
None,0.0001,400,400,10,20,10,False,False,600,256,0.99722,0.9816,0.9802
None,0.0001,400,400,10,20,10,False,False,600,256,0.9571,0.9531,0.9506
None,0.0001,400,400,10,20,10,False,False,600,256,0.97518,0.9618,0.9593
None,0.0001,400,400,10,20,10,False,False,600,256,0.9974,0.9812,0.978
None,0.0001,400,400,10,20,10,False,False,600,256,0.99722,0.9816,0.9802
